region,job_group,sr_search_total_max,sr_keyword_detail,sr_collected_sample,analysis_sample_count,jk_region_total
서울,IT·데이터,20031,개발:20031; 데이터:16653,100,112,66831
서울,사무·회계,17143,사무:17143; 회계:5546; 인사:9928,150,177,66831
서울,기획·마케팅,24039,기획:24039; 마케팅:14822,100,152,66831
서울,연구개발·품질,7255,연구개발:7255; 품질:6011,100,93,66831
서울,생산·기술,6583,생산:6583; 설비:2474,100,99,66831
경기도,IT·데이터,12108,개발:12108; 데이터:7774,100,102,55458
경기도,사무·회계,13235,사무:13235; 회계:3542; 인사:6397,150,170,55458
경기도,기획·마케팅,8998,기획:8998; 마케팅:4753,100,89,55458
경기도,연구개발·품질,7669,연구개발:6249; 품질:7669,100,105,55458
경기도,생산·기술,16699,생산:16699; 설비:6802,100,177,55458
강원도,IT·데이터,393,개발:393; 데이터:199,100,75,3385
강원도,사무·회계,738,사무:738; 회계:241; 인사:380,150,184,3385
강원도,기획·마케팅,255,기획:255; 마케팅:135,100,86,3385
강원도,연구개발·품질,335,연구개발:195; 품질:335,100,110,3385
강원도,생산·기술,725,생산:725; 설비:351,100,181,3385
충청북도,IT·데이터,1048,개발:1048; 데이터:518,100,94,5189
충청북도,사무·회계,1574,사무:1574; 회계:411; 인사:1256,150,172,5189
충청북도,기획·마케팅,585,기획:585; 마케팅:228,100,71,5189
충청북도,연구개발·품질,1261,연구개발:669; 품질:1261,100,128,5189
충청북도,생산·기술,3351,생산:3351; 설비:1344,100,249,5189
충청남도,IT·데이터,1350,개발:1350; 데이터:717,100,84,6758
충청남도,사무·회계,2026,사무:2026; 회계:514; 인사:1019,150,161,6758
충청남도,기획·마케팅,713,기획:713; 마케팅:302,100,74,6758
충청남도,연구개발·품질,1695,연구개발:723; 품질:1695,100,132,6758
충청남도,생산·기술,4321,생산:4321; 설비:2012,100,261,6758
전라북도,IT·데이터,495,개발:495; 데이터:249,100,83,4458
전라북도,사무·회계,1072,사무:1072; 회계:302; 인사:504,150,203,4458
전라북도,기획·마케팅,378,기획:378; 마케팅:176,100,81,4458
전라북도,연구개발·품질,549,연구개발:335; 품질:549,100,110,4458
전라북도,생산·기술,1477,생산:1477; 설비:623,100,199,4458
전라남도,IT·데이터,335,개발:335; 데이터:192,100,68,3743
전라남도,사무·회계,860,사무:860; 회계:275; 인사:399,150,210,3743
전라남도,기획·마케팅,268,기획:268; 마케팅:98,100,70,3743
전라남도,연구개발·품질,367,연구개발:196; 품질:367,100,115,3743
전라남도,생산·기술,1011,생산:1011; 설비:481,100,218,3743
경상북도,IT·데이터,999,개발:999; 데이터:534,100,78,5922
경상북도,사무·회계,1676,사무:1676; 회계:468; 인사:722,150,166,5922
경상북도,기획·마케팅,576,기획:576; 마케팅:232,100,74,5922
경상북도,연구개발·품질,1350,연구개발:503; 품질:1350,100,135,5922
경상북도,생산·기술,3519,생산:3519; 설비:1181,100,220,5922
경상남도,IT·데이터,1368,개발:1368; 데이터:712,100,102,8006
경상남도,사무·회계,2365,사무:2365; 회계:604; 인사:999,150,180,8006
경상남도,기획·마케팅,833,기획:833; 마케팅:380,100,84,8006
경상남도,연구개발·품질,1631,연구개발:697; 품질:1631,100,133,8006
경상남도,생산·기술,5001,생산:5001; 설비:1441,100,189,8006
제주도,IT·데이터,226,개발:226; 데이터:125,100,86,1638
제주도,사무·회계,346,사무:346; 회계:101; 인사:185,150,164,1638
제주도,기획·마케팅,200,기획:200; 마케팅:120,100,84,1638
제주도,연구개발·품질,113,연구개발:102; 품질:113,100,39,1638
제주도,생산·기술,161,생산:161; 설비:109,100,146,1638
