rank,keyword,count
1,생산직종사자,6669
2,운영,3974
3,공정관리자,3844
4,품질관리자,3757
5,휴무,3369
6,물류관리자,3353
7,보험,3045
8,경력직,2898
9,복지,2880
10,사무담당자,2874
11,제공,2810
12,혜택,2769
13,영업관리,2761
14,신입/경력,2733
15,사무보조,2645
16,자재관리자,2534
17,생산직,2473
18,개발,2379
19,마케팅,2298
20,대기업,2289
21,납품,2239
22,연구원,2227
23,배송기사,2101
24,제품영업,2099
25,경영,2091
26,매장관리자,1989
27,비즈니스기획,1978
28,기계엔지니어,1971
29,포장,1962
30,휴가,1954
31,경영지원,1912
32,자격증,1906
33,중소기업,1905
34,영업,1883
35,전기,1810
36,호텔종사자,1776
37,경험자,1745
38,통계,1744
39,설계엔지니어,1727
40,설치,1719
41,영업지원,1708
42,연금,1624
43,고용보험,1619
44,건강보험,1618
45,국민연금,1611
46,산재보험,1598
47,회계담당자,1579
48,기획,1562
49,설계,1545
50,화물,1537
