지역,청년순이동자수,청년순이동률,정책공급종합점수,정책대응부족도,청년유출강도,청년유출위험도,정책미스매치점수,청년유출위험순위,정책미스매치순위
전북,-3225,-1.1394,46.4,53.6,1.1394,71.12803545789374,38.12462700543105,2,1
전남,-2921,-1.0913,49.19,50.81,1.0913,68.12535114551468,34.614490917036015,5,2
경남,-5519,-1.1021,63.52,36.48,1.1021,68.79955053374118,25.098076034708782,4,3
경북,-6054,-1.6019,75.9,24.1,1.6019,100.0,24.1,1,4
제주,-1273,-1.1106,75.21,24.79,1.1106,69.33017042262313,17.186949247768272,3,5
강원,-817,-0.3302,52.31,47.69,0.3302,20.613022036331856,9.830350209126662,6,6
충남,-232,-0.0639,46.14,53.86,0.0639,3.9890130470066794,2.1484824271177976,7,7
경기,8697,0.3204,62.38,37.62,0.0,0.0,0.0,8,8
서울,15631,0.7265,60.67,39.33,0.0,0.0,0.0,8,8
충북,2672,0.9364,62.44,37.56,0.0,0.0,0.0,8,8
