키워드,빈도
일자리,650
교육지원,358
직무교육,256
보조금,247
중소기업,144
위한,140
맞춤형상담서비스,137
복지,127
주거지원,121
통해,117
벤처,105
청년의,102
해외진출,102
창업,100
양성,99
지원사업,90
맞춤형,90
통한,89
위해,86
교육,75
대한,72
바우처,71
있도록,67
인턴,67
있는,65
활성화,62
장기미취업청년,56
강화,53
대학생,52
지원하여,52
등을,51
광양시,51
대상으로,51
기회,48
대학,47
지원하는,47
도모,46
글로벌,44
전문인력,44
취업,44
육성,43
지원을,43
사업입니다,43
출산,41
다양한,39
이상,39
대출,39
확대,38
기회를,36
발굴,36
목적,36
조성,35
2025년,35
분야,34
주요내용,33
육아,33
기업,33
해외,32
청년들의,32
연계,32
디지털,32
제공하여,32
희망하는,32
개최,32
초기,31
예비,31
안정적인,31
부담을,31
마련,30
전달체계,30
경제적,29
전문가,29
이하,29
구축,28
역량,28
기반,26
인재,26
제도,26
지급,26
제공하고,25
청년들에게,25
우수,25
필요한,25
청년농업인,24
온라인,24
wfk,24
제고,24
스타트업,24
ai,23
홍보,23
관내,23
미래,23
컨설팅,23
취업을,23
최대,23
주거,23
청년이,23
유도,22
청년정책,22
채용,22
