KMeans클러스터,순위,대표키워드,중심값
1,1,서비스,0.081982
1,2,프로그램,0.078122
1,3,상담,0.064217
1,4,참여,0.058017
1,5,고용노동부,0.052671
1,6,희망,0.043319
1,7,맞춤형상담서비스,0.040549
1,8,맞춤형,0.038752
1,9,취업지원,0.036917
1,10,일경험,0.033663
1,11,한국고용정보원,0.033628
1,12,고용서비스,0.033569
1,13,상담을,0.031936
1,14,고용,0.031569
1,15,취업,0.030741
2,1,창업,0.024641
2,2,백만원,0.023855
2,3,교육지원,0.023083
2,4,보조금,0.022901
2,5,충청남도,0.02202
2,6,청년의,0.021145
2,7,전라남도,0.020085
2,8,통한,0.018936
2,9,광양시,0.017239
2,10,일자리,0.01564
2,11,개최,0.015398
2,12,맞춤형상담서비스,0.015286
2,13,활성화,0.015164
2,14,기업,0.015061
2,15,프로그램,0.0146
3,1,관광복지국,0.267229
3,2,의성군,0.248735
3,3,경상북도,0.193046
3,4,지역청년,0.16668
3,5,전달체계,0.15953
3,6,목적,0.151504
3,7,주요내용,0.144177
3,8,위탁단체,0.144107
3,9,주거지원,0.075301
3,10,생활인구,0.066231
3,11,워케이션,0.058215
3,12,교육공간,0.054152
3,13,프로그램,0.048257
3,14,역량강화,0.048226
3,15,유입,0.045156
4,1,만원,0.12503
4,2,개월,0.046827
4,3,최대,0.046067
4,4,중위소득,0.029012
4,5,보조금,0.025524
4,6,이내,0.023982
4,7,대학생,0.02217
4,8,인당,0.020327
4,9,이후,0.020309
4,10,신혼부부,0.019736
4,11,차상위,0.017857
4,12,대출,0.01755
4,13,지원금,0.017413
4,14,제외,0.017209
4,15,근로자,0.016097
5,1,교육,0.049217
5,2,양성,0.047928
5,3,교육지원,0.04517
5,4,대학,0.042387
5,5,분야,0.032214
5,6,프로그램,0.032187
5,7,ai,0.031114
5,8,외교부,0.029517
5,9,해외진출,0.028789
5,10,개발,0.027861
5,11,전문인력,0.023767
5,12,글로벌,0.022273
5,13,교육과정,0.021409
5,14,통한,0.020924
5,15,지식재산,0.020773
6,1,중소벤처기업부,0.331318
6,2,중소기업,0.14353
6,3,벤처,0.139249
6,4,사업화자금,0.058633
6,5,창업기업,0.057801
6,6,startup,0.053729
6,7,창업벤처혁신실,0.049761
6,8,창업정책관,0.049761
6,9,창업기업의,0.047907
6,10,유망,0.046198
6,11,스타트업,0.04321
6,12,예비,0.042013
6,13,누리집,0.040684
6,14,멘토링,0.037466
6,15,프로그램,0.034262
