KMeans클러스터,대표정책순위,지역,분류,정책명,정책키워드,거리
1,1,충남,직무교육,취업희망프로그램,맞춤형상담서비스,0.867771
1,2,제주,직무교육,취업희망프로그램,맞춤형상담서비스,0.867771
1,3,경남,직무교육,취업희망프로그램,맞춤형상담서비스,0.867771
1,4,경북,직무교육,취업희망프로그램,맞춤형상담서비스,0.867771
1,5,경기,직무교육,취업희망프로그램,맞춤형상담서비스,0.867771
2,1,충남,창업지원,청년 창업‧창직 지원사업,"금리혜택,교육지원,보조금",0.967238
2,2,경기,창업지원,지역주도형 청년일자리 사업(상생기반대응형),보조금,0.969154
2,3,전남,창업지원,지역주도형 청년일자리 사업(상생기반대응형),보조금,0.969154
2,4,전북,창업지원,지역주도형 청년일자리 사업(상생기반대응형),보조금,0.969154
2,5,서울,창업지원,지역주도형 청년일자리 사업(상생기반대응형),보조금,0.969154
3,1,충남,창업지원,의성푸드빌리지 운영,주거지원,0.641244
3,2,전남,창업지원,의성푸드빌리지 운영,주거지원,0.641244
3,3,제주,창업지원,의성푸드빌리지 운영,주거지원,0.641244
3,4,강원,창업지원,의성푸드빌리지 운영,주거지원,0.641244
3,5,경북,창업지원,의성푸드빌리지 운영,주거지원,0.641244
4,1,경남,일자리,청년내일저축계좌 운영,보조금,0.920502
4,2,경기,일자리,청년내일저축계좌 운영,보조금,0.920502
4,3,충남,일자리,청년내일저축계좌 운영,보조금,0.920502
4,4,충북,일자리,청년내일저축계좌 운영,보조금,0.920502
4,5,전북,일자리,청년내일저축계좌 운영,보조금,0.920502
5,1,제주,직무교육,제주 ICT 전문인력 양성센터 운영 사업,교육지원,0.945159
5,2,제주,직무교육,정보보호특성화대학 지원사업,교육지원,0.953975
5,3,강원,직무교육,정보보호특성화대학 지원사업,교육지원,0.953975
5,4,충북,직무교육,정보보호특성화대학 지원사업,교육지원,0.953975
5,5,충남,직무교육,정보보호특성화대학 지원사업,교육지원,0.953975
6,1,경북,창업지원,기업인력애로센터,"벤처,중소기업",0.788449
6,2,전남,창업지원,기업인력애로센터,"벤처,중소기업",0.788449
6,3,전북,창업지원,기업인력애로센터,"벤처,중소기업",0.788449
6,4,충북,창업지원,기업인력애로센터,"벤처,중소기업",0.788449
6,5,제주,창업지원,기업인력애로센터,"벤처,중소기업",0.788449
