지역,문제유형,대응정책수,지역정책수,대응비율,문제유형가중치,대응비율정규화,부족도
강원,고용기회,227,489,0.46421267893660534,0.22,95.6970006816633,0.11787321063394683
강원,임금소득,145,489,0.2965235173824131,0.18,39.815227770503995,0.12662576687116564
강원,직무성장,298,489,0.6094069529652352,0.18,61.88079918687443,0.07030674846625766
강원,워라밸환경,206,489,0.4212678936605317,0.14,56.430143091284656,0.08102249488752558
강원,주거안정,43,489,0.08793456032719836,0.12,0.0,0.1094478527607362
강원,창업생태계,126,489,0.25766871165644173,0.1,65.5205887283421,0.07423312883435583
강원,참여관계,181,489,0.37014314928425357,0.06,79.82737113707972,0.03779141104294479
경기,고용기회,232,515,0.45048543689320386,0.22,77.90420711974109,0.12089320388349516
경기,임금소득,153,515,0.2970873786407767,0.18,40.48658602415591,0.1265242718446602
경기,직무성장,318,515,0.6174757281553398,0.18,73.77143313302918,0.06885436893203883
경기,워라밸환경,215,515,0.4174757281553398,0.14,50.200741429355574,0.08155339805825243
경기,주거안정,54,515,0.10485436893203884,0.12,32.24270160240173,0.10741747572815534
경기,창업생태계,117,515,0.22718446601941747,0.1,30.368463156769067,0.07728155339805826
경기,참여관계,181,515,0.35145631067961164,0.06,56.22883866431779,0.038912621359223305
경남,고용기회,256,584,0.4383561643835616,0.22,62.18264840182647,0.12356164383561645
경남,임금소득,186,584,0.3184931506849315,0.18,65.97324878822121,0.12267123287671232
경남,직무성장,371,584,0.6352739726027398,0.18,100.0,0.06565068493150684
경남,워라밸환경,247,584,0.4229452054794521,0.14,59.18546825260754,0.08078767123287672
경남,주거안정,82,584,0.1404109589041096,0.12,100.0,0.10315068493150685
경남,창업생태계,144,584,0.2465753424657534,0.1,52.728554723430406,0.07534246575342467
경남,참여관계,202,584,0.3458904109589041,0.06,49.19998439537655,0.039246575342465756
경북,고용기회,252,539,0.4675324675324675,0.22,100.0,0.11714285714285716
경북,임금소득,179,539,0.3320964749536178,0.18,82.16997074672243,0.12022263450834879
경북,직무성장,326,539,0.6048237476808905,0.18,55.126711354181005,0.0711317254174397
경북,워라밸환경,241,539,0.44712430426716143,0.14,98.90454643257794,0.0774025974025974
경북,주거안정,68,539,0.1261595547309833,0.12,72.84225945452614,0.104860853432282
경북,창업생태계,155,539,0.287569573283859,0.1,100.0,0.0712430426716141
경북,참여관계,194,539,0.35992578849721707,0.06,66.92445452180426,0.03840445269016697
서울,고용기회,214,461,0.4642082429501085,0.22,95.6912509038323,0.11787418655097615
서울,임금소득,160,461,0.3470715835140998,0.18,100.0,0.11752711496746203
서울,직무성장,288,461,0.6247288503253796,0.18,84.46007157674875,0.06754880694143167
서울,워라밸환경,199,461,0.4316702819956616,0.14,73.51817764414648,0.07956616052060739
서울,주거안정,50,461,0.10845986984815618,0.12,39.11341112876718,0.10698481561822126
서울,창업생태계,112,461,0.24295010845986983,0.1,48.548209160068915,0.07570498915401302
서울,참여관계,178,461,0.38611713665943603,0.06,100.0,0.036832971800433836
전남,고용기회,224,535,0.41869158878504675,0.22,36.69408099688478,0.1278878504672897
전남,임금소득,164,535,0.30654205607476637,0.18,51.743744831885664,0.12482242990654205
전남,직무성장,328,535,0.6130841121495327,0.18,67.29968282064392,0.0696448598130841
전남,워라밸환경,207,535,0.38691588785046727,0.14,0.0,0.08583177570093459
전남,주거안정,60,535,0.11214953271028037,0.12,46.14450122294827,0.10654205607476636
전남,창업생태계,141,535,0.2635514018691589,0.1,72.30406198591696,0.07364485981308411
전남,참여관계,185,535,0.34579439252336447,0.06,49.078728241941214,0.03925233644859814
전북,고용기회,227,534,0.4250936329588015,0.22,44.992197253433204,0.12647940074906366
전북,임금소득,161,534,0.301498127340824,0.18,45.73821929499797,0.1257303370786517
전북,직무성장,303,534,0.5674157303370787,0.18,0.0,0.07786516853932583
전북,워라밸환경,223,534,0.41760299625468167,0.14,50.4098051182862,0.08153558052434458
전북,주거안정,59,534,0.1104868913857678,0.12,42.97614102750583,0.10674157303370786
전북,창업생태계,128,534,0.2397003745318352,0.1,44.80086187541997,0.07602996254681649
전북,참여관계,182,534,0.3408239700374532,0.06,42.801867884834756,0.03955056179775281
제주,고용기회,269,608,0.44243421052631576,0.22,67.46847587719296,0.12266447368421055
제주,임금소득,196,608,0.3223684210526316,0.18,70.58731777752998,0.1219736842105263
제주,직무성장,370,608,0.6085526315789473,0.18,60.62181964693407,0.07046052631578947
제주,워라밸환경,261,608,0.4292763157894737,0.14,69.58560216899605,0.0799013157894737
제주,주거안정,72,608,0.11842105263157894,0.12,58.095626093125496,0.10578947368421052
제주,창업생태계,141,608,0.23190789473684212,0.1,35.815163769941705,0.07680921052631579
제주,참여관계,217,608,0.3569078947368421,0.06,63.11333026422847,0.03858552631578948
충남,고용기회,276,707,0.39038189533239037,0.22,0.0,0.13411598302687414
충남,임금소득,186,707,0.26308345120226306,0.18,0.0,0.13264497878359263
충남,직무성장,422,707,0.5968882602545968,0.18,43.432498298636894,0.07256011315417256
충남,워라밸환경,278,707,0.3932107496463932,0.14,10.340588373441902,0.08495049504950496
충남,주거안정,77,707,0.10891089108910891,0.12,39.972885584301125,0.10693069306930693
충남,창업생태계,142,707,0.20084865629420084,0.1,0.0,0.07991513437057991
충남,참여관계,217,707,0.3069306930693069,0.06,0.0,0.04158415841584158
충북,고용기회,230,498,0.46184738955823296,0.22,92.63119143239629,0.11839357429718876
충북,임금소득,167,498,0.3353413654618474,0.18,86.03348148200314,0.11963855421686748
충북,직무성장,300,498,0.6024096385542169,0.18,51.56913449089811,0.07156626506024096
충북,워라밸환경,223,498,0.44779116465863456,0.14,100.0,0.07730923694779117
충북,주거안정,56,498,0.11244979919678715,0.12,46.71669461778784,0.10650602409638554
충북,창업생태계,117,498,0.23493975903614459,0.1,39.311280283174646,0.07650602409638554
충북,참여관계,182,498,0.3654618473895582,0.06,73.91562452685706,0.038072289156626506
