지역,정책수,일자리문제관련정책비율,평균키워드대응점수,정책공급종합점수,정책대응부족도,정책대응부족분야,해석
경북,539,0.987012987012987,93.32100185528752,75.9,24.1,"임금소득, 고용기회","경북은 정책공급종합점수 75.9점으로 '높음' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
제주,608,0.9802631578947368,92.49412828947366,75.21,24.79,"고용기회, 임금소득","제주은 정책공급종합점수 75.2점으로 '높음' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
경남,584,0.9794520547945206,92.652654109589,63.52,36.48,"고용기회, 임금소득","경남은 정책공급종합점수 63.5점으로 '보통 이상' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
충북,498,0.9799196787148594,92.99022088353409,62.44,37.56,"임금소득, 고용기회","충북은 정책공급종합점수 62.4점으로 '보통 이상' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
경기,515,0.9805825242718447,92.02132038834947,62.38,37.62,"임금소득, 고용기회","경기은 정책공급종합점수 62.4점으로 '보통 이상' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
서울,461,0.982646420824295,93.07837310195224,60.67,39.33,"고용기회, 임금소득","서울은 정책공급종합점수 60.7점으로 '보통 이상' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
강원,489,0.9754601226993865,92.0060531697341,52.31,47.69,"임금소득, 고용기회","강원은 정책공급종합점수 52.3점으로 '보통' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
전남,535,0.9719626168224299,91.16409345794385,49.19,50.81,"고용기회, 임금소득","전남은 정책공급종합점수 49.2점으로 '보통' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
전북,534,0.9719101123595506,90.60280898876395,46.4,53.6,"고용기회, 임금소득","전북은 정책공급종합점수 46.4점으로 '보통' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
충남,707,0.9575671852899575,89.01920792079203,46.14,53.86,"고용기회, 임금소득","충남은 정책공급종합점수 46.1점으로 '보통' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
