점수구성요소,가중치,설명,구분
정책수점수,0.25,지역별 정책 수를 로그 변환 후 Min-Max 정규화,정책공급종합점수
관련정책비율점수,0.25,전체 정책 중 일자리 문제 유형 키워드에 대응하는 정책 비율,정책공급종합점수
키워드대응도점수,0.25,정책별 문제유형 키워드 가중 매칭 평균,정책공급종합점수
분류다양성점수,0.1,일자리·교육·주거·창업·복지·참여 등 분류 다양성,정책공급종합점수
신청가능성점수,0.1,신청가능 또는 상시성 정책 비율,정책공급종합점수
정보접근성점수,0.05,신청 URL 및 신청방법 정보 보유 정도,정책공급종합점수
고용기회,0.22,"취업, 채용, 구직, 일자리, 고용, 면접, 인턴, 근로",문제유형가중치
임금소득,0.18,"임금, 급여, 월급, 소득, 수당, 생활비, 지원금, 장려금",문제유형가중치
직무성장,0.18,"교육, 훈련, 직무, 자격증, 역량, 멘토링, 컨설팅, 인재양성",문제유형가중치
워라밸환경,0.14,"워라밸, 근로환경, 복지, 휴가, 유연근무, 건강, 심리, 상담",문제유형가중치
주거안정,0.12,"주거, 월세, 전세, 임대, 주택, 보증금, 기숙사, 청년주택",문제유형가중치
창업생태계,0.1,"창업, 스타트업, 사업화, 예비창업, 창업자, 창업공간, 사업자, 소상공인",문제유형가중치
참여관계,0.06,"참여, 네트워크, 동아리, 커뮤니티, 공모전, 청년활동, 위원회, 서포터즈",문제유형가중치
