지역,순위,키워드,빈도
강원,1,만원,278
강원,2,프로그램,190
강원,3,교육지원,178
강원,4,개월,152
강원,5,참여,143
강원,6,교육,143
강원,7,최대,124
강원,8,보조금,117
강원,9,강원특별자치도,116
강원,10,통한,112
강원,11,대학,104
강원,12,서비스,100
강원,13,접수,93
강원,14,중소기업,89
강원,15,창업,87
강원,16,이내,83
강원,17,기업,82
강원,18,취업,79
강원,19,kr,78
강원,20,맞춤형,75
강원,21,고용노동부,72
강원,22,중소벤처기업부,71
강원,23,양성,70
강원,24,따라,68
강원,25,분야,67
강원,26,청년의,67
강원,27,제외,65
강원,28,맞춤형상담서비스,63
강원,29,위해,62
강원,30,유형,62
경기,1,만원,284
경기,2,경기도,207
경기,3,교육지원,193
경기,4,프로그램,190
경기,5,교육,158
경기,6,참여,134
경기,7,개월,131
경기,8,최대,127
경기,9,통한,127
경기,10,서비스,110
경기,11,대학,106
경기,12,보조금,99
경기,13,취업,89
경기,14,창업,86
경기,15,평택시,84
경기,16,접수,83
경기,17,중소기업,83
경기,18,맞춤형,78
경기,19,kr,76
경기,20,청년의,75
경기,21,기업,75
경기,22,이내,72
경기,23,양성,72
경기,24,따라,71
경기,25,고용노동부,71
경기,26,중소벤처기업부,71
경기,27,맞춤형상담서비스,70
경기,28,ai,69
경기,29,대학생,67
경기,30,분야,66
경남,1,만원,359
경남,2,경상남도,236
경남,3,교육지원,206
경남,4,프로그램,184
경남,5,통한,156
경남,6,최대,155
경남,7,개월,155
경남,8,교육,151
경남,9,참여,149
경남,10,보조금,126
경남,11,대학,114
경남,12,기업,112
경남,13,중소기업,110
경남,14,창업,109
경남,15,서비스,97
경남,16,이내,94
경남,17,청년의,94
경남,18,취업,93
경남,19,지원사업,92
경남,20,접수,91
경남,21,양성,88
경남,22,맞춤형,84
경남,23,kr,80
경남,24,교육청년국,79
경남,25,맞춤형상담서비스,77
경남,26,진주시,77
경남,27,분야,75
경남,28,따라,73
경남,29,고용노동부,73
경남,30,중소벤처기업부,72
경북,1,만원,394
경북,2,경상북도,233
경북,3,교육지원,192
경북,4,프로그램,190
경북,5,개월,168
경북,6,최대,165
경북,7,참여,147
