지역,순위,키워드,TFIDF
전남,1,일자리,0.6328807150933009
전남,2,교육지원,0.36361159096975365
전남,3,직무교육,0.26140725188636343
전남,4,보조금,0.2515799115898836
전남,5,위한,0.14544463638790145
전남,6,중소기업,0.13954823221001356
전남,7,맞춤형상담서비스,0.1316863599728297
전남,8,복지,0.12382448773564583
전남,9,주거지원,0.113997147439166
전남,10,통해,0.11203167937987003
전북,1,일자리,0.6544729327651814
전북,2,교육지원,0.3451945651474889
전북,3,직무교육,0.245427349786943
전북,4,보조금,0.23744597255809932
전북,5,중소기업,0.14566013442639705
전북,6,맞춤형상담서비스,0.1396741015047643
전북,7,위한,0.13169272427592063
전북,8,복지,0.1277020356614988
전북,9,주거지원,0.12570669135428789
전북,10,통해,0.11972065843265513
