KMeans주제유사군집,순위,대표키워드,중심값
0,1,주거지원,0.4189675526407621
0,2,주거,0.06706981121108344
0,3,직무교육,0.04986379241641773
0,4,신혼부부,0.04905619658665757
0,5,공공임대주택,0.04674352792923192
0,6,대학생,0.042812789934251846
0,7,주거비,0.04175043981024392
0,8,지원사업,0.041030170638899514
0,9,대출이자,0.04043393384022938
0,10,대출,0.037988115455589194
0,11,조성,0.036917256594834795
0,12,최대,0.036859926564340804
0,13,개선,0.03463531994720598
0,14,안정적인,0.03456489228407406
0,15,거주하는,0.034050849330795295
1,1,일자리,0.11835148304745059
1,2,중소기업,0.058162004684407985
1,3,보조금,0.050965185738136104
1,4,벤처,0.049562328906027256
1,5,창업,0.0397339503017463
1,6,맞춤형상담서비스,0.034196808394805676
1,7,위한,0.03277510565217094
1,8,인턴,0.03135318856854375
1,9,장기미취업청년,0.030123673414346915
1,10,교육지원,0.029997069845586775
1,11,통해,0.025381308738609127
1,12,맞춤형,0.0229988058038554
1,13,취업,0.0193236345009768
1,14,통한,0.019265492766402242
1,15,육성,0.01904934895208123
2,1,복지,0.23591139881099024
2,2,출산,0.07742687814422236
2,3,보조금,0.07678317931799493
2,4,청년의,0.07520647711795954
2,5,바우처,0.07377288648606987
2,6,맞춤형상담서비스,0.06639853494369774
2,7,육아,0.06346497424492524
2,8,부담을,0.04523151061316707
2,9,광양시,0.03624402491961642
2,10,개최,0.03617447750834822
2,11,있는,0.03249229364058707
2,12,대한,0.03199143171158386
2,13,위한,0.03167745687779875
2,14,지원사업,0.0316725964778915
2,15,사업입니다,0.03166008056249187
3,1,직무교육,0.1537977049606532
3,2,교육지원,0.12586857076474198
3,3,양성,0.06188483649935663
3,4,해외진출,0.04870654684995196
3,5,교육,0.04013255964111181
3,6,전문인력,0.03791980757301212
3,7,통한,0.0334271302872299
3,8,통해,0.031249794353992097
3,9,위한,0.02900861605609162
3,10,wfk,0.028973627485837598
3,11,일자리,0.027530088563766573
3,12,보조금,0.026574743768515936
3,13,위해,0.02655855971576809
3,14,맞춤형,0.025398268577547147
3,15,인재,0.025049957795748177
