지역,순위,키워드,TFIDF
강원,1,원주시,0.665539
강원,2,춘천시,0.285231
강원,3,삼척시,0.213923
강원,4,고성군,0.202039
강원,5,경제진흥국,0.130731
강원,6,원주시청,0.130731
강원,7,청년지원센터,0.114906
강원,8,복지정책과,0.111133
강원,9,춘천시의,0.106962
강원,10,원주시에,0.106962
경기,1,평택시,0.779564
경기,2,용인시,0.324818
경기,3,의왕시,0.18561
경기,4,안성시,0.139208
경기,5,기획항만경제실,0.129927
경기,6,군포시,0.120647
경기,7,경기청년,0.083525
경기,8,회기,0.071004
경기,9,평택시에,0.064964
경기,10,미래평생교육국,0.055683
경남,1,진주시,0.628579
경남,2,양산시,0.375514
경남,3,인구청년정책관,0.220411
경남,4,창원시,0.187757
경남,5,합천군,0.171431
경남,6,통영시,0.114287
경남,7,진주시에,0.106124
경남,8,산업인력과,0.106124
경남,9,기획예산실,0.062456
경남,10,창작공간,0.059376
경북,1,청송군,0.36454
경북,2,고령군,0.291632
경북,3,기획감사실,0.281217
경북,4,청년근로자,0.209149
경북,5,인구정책실,0.166647
경북,6,경주시,0.156231
경북,7,경북도,0.156231
경북,8,지방시대정책국,0.135401
경북,9,경북테크노파크,0.135401
경북,10,구미시,0.130853
서울,1,중랑구,0.399305
서울,2,청년안심주택,0.149739
서울,3,역세권,0.149739
서울,4,중랑청년청,0.133102
서울,5,은평구청,0.133102
서울,6,밀키트,0.116464
서울,7,영테크,0.116464
서울,8,책무,0.116464
서울,9,가족돌봄청년,0.110013
서울,10,경제일자리기획관,0.099826
전남,1,순천시,0.534265
전남,2,인구정책과,0.227056
전남,3,여수시,0.190809
전남,4,전남형,0.178088
전남,5,해남군,0.152647
전남,6,곡성군에,0.152647
전남,7,교육보육국,0.139926
전남,8,결혼축하금,0.117757
전남,9,강진군,0.114485
전남,10,미래전략산업국,0.108137
전북,1,완주군,0.502915
전북,2,익산시,0.425544
전북,3,장수군,0.348172
전북,4,순창군,0.212772
전북,5,군산시,0.116057
전북,6,농생명축산산업국,0.116057
전북,7,익산청년시청,0.087043
전북,8,전주,0.077372
전북,9,문화예술교육사,0.077372
전북,10,전북형,0.077372
제주,1,제주특별자치도경제통상진흥원,0.550857
제주,2,경영본부,0.541193
제주,3,서귀포시,0.420391
제주,4,제주시,0.146975
제주,5,경제활력국,0.120802
제주,6,노동일자리과,0.09181
제주,7,기획예산과,0.082154
제주,8,서귀포시청,0.062817
제주,9,제주대학교,0.057985
제주,10,자치행정국,0.0575
충남,1,경제산업과,0.205623
충남,2,청년인구정책과,0.182776
충남,3,아산시,0.182776
충남,4,지역경제과,0.152928
충남,5,장학사업별,0.137082
충남,6,서산시에,0.137082
충남,7,천안시,0.125658
충남,8,홍성,0.125658
충남,9,건강증진식품과,0.125658
충남,10,태안,0.125658
충북,1,충청북도,0.911749
충북,2,제천시,0.186071
충북,3,괴산군,0.124047
충북,4,충주시,0.124047
충북,5,충북청년희망센터,0.086833
충북,6,미래기획국,0.049619
충북,7,충북인재평생교육진흥원,0.049619
충북,8,안전행정국,0.043417
충북,9,청주시,0.043417
충북,10,보건소,0.038546
