분류,순위,키워드,TFIDF
복지,1,이후,0.194802
복지,2,서비스,0.168043
복지,3,보호종료,0.157653
복지,4,서울청년센터,0.137052
복지,5,바우처,0.133792
복지,6,보호종료된,0.133707
복지,7,맞춤형상담서비스,0.113456
복지,8,아동,0.10659
복지,9,은평구,0.105584
복지,10,ifwy,0.104459
복지,11,출산,0.097401
복지,12,자립준비청년,0.096675
복지,13,가정위탁,0.09546
복지,14,공연,0.092957
복지,15,참가자,0.089908
복지,16,양육비,0.089674
복지,17,아동복지시설,0.088228
복지,18,세가,0.084281
복지,19,과세기간의,0.083567
복지,20,자로서,0.081802
복지,21,보건복지부,0.079323
복지,22,양육,0.073764
복지,23,저출산,0.073666
복지,24,정신건강,0.072318
복지,25,아동복지법,0.071032
복지,26,때로부터,0.071032
복지,27,부담을,0.069572
복지,28,시군구,0.068526
복지,29,경제적,0.068502
복지,30,직전,0.065689
일자리,1,고용노동부,0.180215
일자리,2,육아기,0.179501
일자리,3,단축,0.138078
일자리,4,퍼센트,0.125227
일자리,5,지원금,0.122382
일자리,6,근로시간,0.114712
일자리,7,취업,0.113863
일자리,8,기업,0.113186
일자리,9,고용보험,0.110587
일자리,10,재취업한,0.110462
일자리,11,한국고용정보원,0.098299
일자리,12,일자리,0.095842
일자리,13,제외,0.094086
일자리,14,이후,0.086304
일자리,15,중소기업,0.084889
일자리,16,근로자,0.084374
일자리,17,사업주에게,0.082847
일자리,18,새만금,0.082847
일자리,19,지급액,0.082847
일자리,20,구직급여,0.081916
일자리,21,불가,0.0764
일자리,22,맞춤형상담서비스,0.074278
일자리,23,유형,0.072863
일자리,24,단축을,0.069039
일자리,25,소정근로시간,0.069039
일자리,26,신고,0.069039
일자리,27,예술활동증명,0.069039
일자리,28,의료원,0.069039
일자리,29,차상위,0.06799
일자리,30,사업주,0.06799
주거지원,1,주거지원,0.313122
주거지원,2,주거,0.221422
주거지원,3,신혼부부,0.184107
주거지원,4,주택,0.182282
주거지원,5,국토교통부,0.177498
주거지원,6,주거급여,0.158798
주거지원,7,무주택,0.140905
주거지원,8,대출,0.139737
주거지원,9,주택드림,0.136375
주거지원,10,중위소득,0.115283
주거지원,11,주거비,0.114066
주거지원,12,거주하는,0.112488
주거지원,13,공공임대주택,0.111829
주거지원,14,월세,0.110711
주거지원,15,청년월세,0.10512
주거지원,16,억원,0.097896
주거지원,17,부모와,0.096826
주거지원,18,포함,0.082445
주거지원,19,소득,0.081047
주거지원,20,원가구,0.080461
주거지원,21,위탁단체,0.078281
주거지원,22,부담,0.075458
주거지원,23,관광복지국,0.073362
주거지원,24,지역청년,0.072815
주거지원,25,교육지원,0.072699
주거지원,26,복지로,0.06917
주거지원,27,무주택자,0.063743
주거지원,28,불가,0.061484
주거지원,29,의성군,0.060786
주거지원,30,배우자의,0.060388
직무교육,1,교육지원,0.382434
직무교육,2,프로그램,0.299349
직무교육,3,교육,0.279397
직무교육,4,양성,0.164913
직무교육,5,취업,0.126368
직무교육,6,ai,0.110742
직무교육,7,인턴,0.105579
직무교육,8,맞춤형,0.100052
직무교육,9,서비스,0.096219
직무교육,10,고용노동부,0.093433
직무교육,11,전문인력,0.092016
직무교육,12,교육부,0.085318
직무교육,13,금융교육,0.083944
직무교육,14,기업,0.083713
직무교육,15,연계,0.081292
직무교육,16,유형,0.080082
직무교육,17,취업연계,0.079424
직무교육,18,맞춤형상담서비스,0.077661
직무교육,19,채용,0.07498
직무교육,20,장학금,0.07498
직무교육,21,교육과정,0.07329
직무교육,22,인턴십,0.070707
직무교육,23,역량,0.069509
직무교육,24,시간,0.067979
직무교육,25,훈련,0.065541
직무교육,26,취업지원,0.063768
직무교육,27,직업훈련,0.062635
직무교육,28,학생,0.061524
직무교육,29,go,0.061524
직무교육,30,sw,0.061422
참여 프로그램,1,unv,0.293689
참여 프로그램,2,동아리,0.275236
참여 프로그램,3,베트남,0.220267
참여 프로그램,4,청년봉사단,0.185964
참여 프로그램,5,전문봉사단,0.179076
참여 프로그램,6,경력,0.159357
참여 프로그램,7,업무,0.159357
참여 프로그램,8,사회기여활동,0.146845
참여 프로그램,9,공무원,0.137618
참여 프로그램,10,관계,0.137618
참여 프로그램,11,협력,0.110094
참여 프로그램,12,한국국제교류재단,0.106238
참여 프로그램,13,지방자치단체,0.106238
