키워드,빈도
만원,3167
프로그램,2029
교육지원,1973
교육,1587
개월,1489
참여,1414
최대,1387
통한,1314
보조금,1283
대학,1066
창업,1001
서비스,983
중소기업,964
접수,926
기업,897
취업,856
이내,843
맞춤형,806
청년의,804
kr,801
양성,760
맞춤형상담서비스,740
따라,735
고용노동부,718
중소벤처기업부,714
분야,712
제출,680
지원사업,678
등을,655
유형,640
대학생,636
연계,633
위해,628
해외진출,615
강화,615
ai,607
인턴,605
대상으로,600
제외,599
경상북도,548
백만원,547
벤처,544
시간,543
개발,532
주요내용,522
상담,521
확인,515
따른,505
있도록,494
www,485
글로벌,482
컨설팅,477
일자리,472
go,466
채용,466
바우처,454
기회,450
이후,448
활성화,443
목적,441
다양한,440
인당,436
멘토링,428
한국고용정보원,420
필요한,419
소득,405
중위소득,404
지원을,403
홍보,399
기반,398
불가,396
대출,381
작성,378
취업지원,376
고용,376
전라남도,374
참고,373
해외,373
장학금,368
억원,365
주거지원,365
구축,365
활동,363
년간,362
학생,360
중인,357
실시,356
확대,356
거주,354
전달체계,352
역량,351
발굴,350
도내,347
국내,346
지원대상,346
도모,344
교육부,344
고용보험,338
선발,335
한국장학재단,335
