지역,정책수,고유정책수,신청가능정책수,신청URL보유정책수,신청방법보유정책수,평균설명길이,평균매칭분류수,신청가능비율,신청URL보유비율,신청방법보유비율
강원,489,489,255,207,325,401.37832310838445,2.789366053169734,0.5215,0.4233,0.6646
경기,515,515,298,222,326,387.09514563106796,2.7359223300970874,0.5786,0.4311,0.633
경남,584,584,278,204,315,386.66267123287673,2.816780821917808,0.476,0.3493,0.5394
경북,539,539,307,209,318,408.4805194805195,2.8218923933209648,0.5696,0.3878,0.59
서울,461,461,243,201,281,444.2603036876356,2.8308026030368763,0.5271,0.436,0.6095
전남,535,535,297,194,324,387.15140186915886,2.7289719626168223,0.5551,0.3626,0.6056
전북,534,534,306,191,317,396.6441947565543,2.6779026217228465,0.573,0.3577,0.5936
제주,608,608,341,296,401,395.7779605263158,2.768092105263158,0.5609,0.4868,0.6595
충남,707,707,468,236,434,317.2121640735502,2.633663366336634,0.662,0.3338,0.6139
충북,498,498,253,214,335,403.3995983935743,2.783132530120482,0.508,0.4297,0.6727
