지역,순위,키워드,TFIDF
강원,1,원주시,0.665539
강원,2,춘천시,0.285231
강원,3,삼척시,0.213923
강원,4,고성군,0.202039
강원,5,경제진흥국,0.130731
강원,6,원주시청,0.130731
강원,7,청년지원센터,0.114906
강원,8,복지정책과,0.111133
강원,9,춘천시의,0.106962
강원,10,원주시에,0.106962
강원,11,횡성군,0.095077
강원,12,속초시,0.095077
강원,13,춘천시에,0.083192
강원,14,화천군,0.083192
강원,15,독서실,0.071308
강원,16,청년라운지,0.071308
강원,17,취업수당,0.071308
강원,18,재단법인강원특별자치도경제진흥원,0.059423
강원,19,안심공제,0.059423
강원,20,주점업,0.055009
강원,21,스터디카페,0.050515
강원,22,도착분까지,0.047539
강원,23,출퇴근하는,0.047539
강원,24,전출,0.047539
강원,25,원주시로,0.047539
강원,26,전입하여,0.047539
강원,27,삼척형,0.047539
강원,28,참여이력이,0.047539
강원,29,결제한,0.047539
강원,30,지역경제과,0.044195
경기,1,평택시,0.779564
경기,2,용인시,0.324818
경기,3,의왕시,0.18561
경기,4,안성시,0.139208
경기,5,기획항만경제실,0.129927
경기,6,군포시,0.120647
경기,7,경기청년,0.083525
경기,8,회기,0.071004
경기,9,평택시에,0.064964
경기,10,미래평생교육국,0.055683
경기,11,정신건강과,0.055683
경기,12,전월세,0.055229
경기,13,포천시,0.046403
경기,14,광명시,0.046403
경기,15,경기민원,0.046403
경기,16,청년정책협의체,0.041413
경기,17,기수,0.041413
경기,18,노동인권,0.039446
경기,19,청년창업자,0.038577
경기,20,재단법인경기도일자리재단,0.037122
경기,21,의료기관,0.037122
경기,22,중개보수료,0.037122
경기,23,외래치료비,0.037122
경기,24,용인청년,0.037122
경기,25,펀딩,0.037122
경기,26,신입사원,0.037122
경기,27,치료비,0.036819
경기,28,도에,0.031557
경기,29,증명사진,0.030683
경기,30,보건소,0.028838
경남,1,진주시,0.628579
경남,2,양산시,0.375514
경남,3,인구청년정책관,0.220411
경남,4,창원시,0.187757
경남,5,합천군,0.171431
경남,6,통영시,0.114287
경남,7,진주시에,0.106124
경남,8,산업인력과,0.106124
경남,9,기획예산실,0.062456
경남,10,창작공간,0.059376
경남,11,창녕군,0.057144
경남,12,함양군,0.057144
경남,13,대출잔액,0.053323
경남,14,면접정장,0.051731
경남,15,미래전략담당관,0.04898
경남,16,농업용드론,0.04898
경남,17,경남도내,0.04898
경남,18,민생경제과,0.04898
경남,19,고독사,0.04898
경남,20,미래전략추진단,0.04898
경남,21,귀어,0.041638
경남,22,청년주택,0.041638
경남,23,접수해야,0.040817
경남,24,하동군,0.040817
경남,25,창원대,0.040817
경남,26,남해군,0.040817
경남,27,도서관사업소,0.040817
경남,28,입주예술인,0.040817
경남,29,어촌발전과,0.040817
경남,30,김해시,0.040817
경북,1,청송군,0.36454
경북,2,고령군,0.291632
경북,3,기획감사실,0.281217
경북,4,청년근로자,0.209149
경북,5,인구정책실,0.166647
경북,6,경주시,0.156231
경북,7,경북도,0.156231
경북,8,지방시대정책국,0.135401
경북,9,경북테크노파크,0.135401
경북,10,구미시,0.130853
경북,11,시민복지국,0.106249
