청년유출순위,지역,기준연도,기준기간,연앙인구기준연도,청년연령기준,청년순이동자수,청년연앙인구,청년순이동률,청년유출위험도,유출여부,연앙인구산출방식
1,경북,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-6054,377923.1,-1.6019,100.0,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
2,전북,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-3225,283040.9,-1.1394,81.78,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
3,제주,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-1273,114625.9,-1.1106,80.64,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
4,경남,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-5519,500754.7,-1.1021,80.31,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
5,전남,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-2921,267669.0,-1.0913,79.88,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
6,강원,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-817,247400.2,-0.3302,49.9,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
7,충남,2025.11~2026.04,2025.11~2026.04,2025,19~34세,-232,362829.3,-0.0639,39.41,유출,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
8,경기,2025.11~2026.04,2025.11~2026.04,2025,19~34세,8697,2714664.8,0.3204,24.27,유입,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
9,서울,2025.11~2026.04,2025.11~2026.04,2025,19~34세,15631,2151471.6,0.7265,8.27,유입,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
10,충북,2025.11~2026.04,2025.11~2026.04,2025,19~34세,2672,285334.4,0.9364,0.0,유입,15~19세의 1/5 + 20~24세 + 25~29세 + 30~34세
