지역,정책수,평균텍스트길이,URL존재율,지원대상기재율,신청방법기재율,신청기간기재율,신청기간날짜추출률,현재신청가능추정비율
충남,707,323.004243281471,0.8161244695898161,1,0.6138613861386139,0.43705799151343705,0.43705799151343705,0.08486562942008487
제주,608,405.1381578947368,0.8009868421052632,1,0.6595394736842105,0.49506578947368424,0.49506578947368424,0.049342105263157895
경남,584,394.638698630137,0.833904109589041,1,0.5393835616438356,0.4143835616438356,0.4143835616438356,0.017123287671232876
경북,539,415.4972170686456,0.7884972170686456,1,0.5899814471243042,0.5046382189239332,0.5046382189239332,0.03153988868274583
전남,535,395.27663551401866,0.7532710280373832,1,0.6056074766355141,0.4542056074766355,0.4542056074766355,0.024299065420560748
전북,534,398.061797752809,0.7209737827715356,1,0.5936329588014981,0.46441947565543074,0.46441947565543074,0.03932584269662921
경기,515,396.3980582524272,0.8116504854368932,1,0.6330097087378641,0.47378640776699027,0.47378640776699027,0.05242718446601942
충북,498,412.4839357429719,0.751004016064257,1,0.6726907630522089,0.43775100401606426,0.43775100401606426,0.020080321285140562
강원,489,410.58486707566465,0.754601226993865,1,0.6646216768916156,0.4887525562372188,0.4887525562372188,0.03067484662576687
서울,461,453.58568329718,0.7505422993492408,1,0.6095444685466378,0.46203904555314534,0.46203904555314534,0.019522776572668113
