지역,자동분류,정책수
강원,직무교육,308
강원,일자리,297
강원,복지,231
강원,참여 프로그램,177
강원,창업지원,123
강원,주거지원,45
경기,직무교육,328
경기,일자리,300
경기,복지,252
경기,참여 프로그램,186
경기,창업지원,119
경기,주거지원,55
경남,직무교육,353
경남,일자리,341
경남,복지,292
경남,참여 프로그램,210
경남,창업지원,143
경남,주거지원,87
경북,일자리,326
경북,직무교육,326
경북,복지,248
경북,참여 프로그램,194
경북,창업지원,153
경북,주거지원,70
서울,직무교육,297
서울,일자리,274
서울,복지,228
서울,참여 프로그램,186
서울,창업지원,116
서울,주거지원,50
전남,직무교육,326
전남,일자리,300
전남,복지,256
전남,참여 프로그램,190
전남,창업지원,140
전남,주거지원,63
전북,직무교육,313
전북,일자리,309
전북,복지,256
전북,참여 프로그램,181
전북,창업지원,133
전북,주거지원,59
제주,직무교육,383
제주,일자리,345
제주,복지,299
제주,참여 프로그램,227
제주,창업지원,148
제주,주거지원,72
충남,직무교육,437
충남,일자리,368
충남,복지,344
충남,참여 프로그램,228
충남,창업지원,163
충남,주거지원,81
충북,직무교육,316
충북,일자리,295
충북,복지,243
충북,참여 프로그램,186
충북,창업지원,121
충북,주거지원,56
